Family,Ll6,Ll7,Ll3,Ll8,guild
Baetidae,195,175,0,0,grazer
Heptageniidae,98,93,0,0,grazer
Rhyacophalidae,4,4,0,2,predator
Polycentropodidae,1,3,2,0,predator
Philoptamidae,1,4,0,0,filterer
Psychomyiidae,1,4,0,0,grazer
Perlodidae,8,19,3,11,predator
Chloroperlidae,11,16,11,24,predator
Leuctridae,38,41,27,46,shredder
Nemouridae,8,35,6,34,shredder
Taeniopterygidae,35,41,35,23,shredder
Simuliidae,34,48,32,13,filterer
Pedicidae,5,3,4,1,predator
Scirtridae,1,7,0,0,collector-gatherer
Elmidae,3,8,0,0,collector-gatherer
Goeridae,4,0,0,0,grazer
Chironomidae,1,1,0,0,grazer
Hydraenidae,0,3,0,0,predator
Valvatidae,0,1,0,0,grazer
Hydropsychidae,6,6,0,0,filterer
Limnephilidae,0,3,0,0,collector-gatherer
